/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-10-12_497843.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	OníṢàngó tó jó tí kò tàpá, àbùkù ara rẹ̀.	oníṣàngó tó jó tí kò tàpá, àbùkù ara rẹ̀.	onisongo tojo ti ko tapa abuku ara re	['oníṣàngó tó jó tí kò tàpá àbùkọ ara rẹ̀.']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-10-25_000993.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	On íṣẹ̀ẹ́pẹ́  igí bímọ ó sọ ọ́ ní Ayọ̀ ọ́  kúnlé; ayọ̀ wo ló wà lára ìṣẹ́pẹ́ igi?	on íṣẹ̀ẹ́pẹ́  igí bímọ ó sọ ọ́ ní ayọ̀ ọ́  kúnlé; ayọ̀ wo ló wà lára ìṣẹ́pẹ́ igi?	oni se pe igi bi mo o so ni ayo kunle ayo wolo wa lara ise pe igi	['oníṣẹ́ pé igi bímọ ó sọ ní ayọ̀kúnlé ayọ̀wòló wà lára ìṣe pé igi']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-10-55_898629.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Oǹpè ní ń fa ọlá; òjípè kì í fa ọlá.	oǹpè ní ń fa ọlá; òjípè kì í fa ọlá.	ohn pe ni n fa ola o ji pe ki fa ola	['òun pè ní ń fa ọlá, ó jípè kìí fa ọlá']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-12-27_382524.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Oòrùn, kó tìẹ wọ̀ ká má bàá Ọlọ́jọ́ wí.	oòrùn, kó tìẹ wọ̀ ká má bàá ọlọ́jọ́ wí.	orun ko ti ewo ka ma ba olojo wi	['òòrùn kò tí ẹ̀wọ̀ ká má bá ọlọ́jọ́ wí']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-12-53_315347.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Orí àgbà á níyì, ó sàn ju orí àgbà á fọ̀ lọ.	orí àgbà á níyì, ó sàn ju orí àgbà á fọ̀ lọ.	ori agbaa niyi o san ju ori agbaa folo	['orí àgbà á níyìn, ó sàn jú orí àgbà á fọ́ lọ.']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-12-58_631302.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Orí awọ là ń bágbà.	orí awọ là ń bágbà.	ori awo la n ba gba	['orí àwọ̀ là ń bá gbà.']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-14-19_185370.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Orí i kí ní ń yá àpọ́n tó ń súfèé? Nítorí pé yó gùn ún yán fúnra ẹ̀ yó nìkan jẹ́?	orí i kí ní ń yá àpọ́n tó ń súfèé? nítorí pé yó gùn ún yán fúnra ẹ̀ yó nìkan jẹ́?	ori ki ni n ya apon to n sufe nitori pe yo gun yan fun ra eyo nikan je	['oríkínní ya àpọ́ntọ̀ ń ṣùfé nítorí pé yóò gún iyán fúnra ẹ̀yọ̀ nìkanjẹ']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-14-37_002386.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Orogún ìyá ẹ  dáṣọ fún ọ o ní kò balẹ̀; mélòó nìyá ẹ ẹ́ dá fún ọ tó fi kú?	orogún ìyá ẹ  dáṣọ fún ọ o ní kò balẹ̀; mélòó nìyá ẹ ẹ́ dá fún ọ tó fi kú?	orogun iya e da so fun on oni ko bale meloni ya e da fun on to fi ku	['orogun ìyá ẹ̀dá ṣọ fún ọ, oní ko balẹ̀, mélòó ni ìyá ẹ̀dá fún ọ tó fi kú?']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-15-06_551004.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	‘‘Òru ò molówó’’ nIfá tí à ń dá fún ‘‘Ìwọ ta nìyẹn?’’	‘‘òru ò molówó'' nifá tí à ń dá fún ‘‘ìwọ ta nìyẹn?''	oru omulowo ni fartian n da fun iwo taniyan	['òru òmolówó ní fàtì àńdá fún ìwọta ni ẹ']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-15-38_219614.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Òtòlò ó jẹ, òtòlò ó mu, òtòlò ó fẹsẹ̀ wé ẹsẹ̀ erin.	òtòlò ó jẹ, òtòlò ó mu, òtòlò ó fẹsẹ̀ wé ẹsẹ̀ erin.	otoloje otolomu otolo fese we ese irin	['òtòló jẹ́ òtòló mu, òtòló fẹsẹ̀wé ẹsẹ̀ rin']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-15-48_053459.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Oúnjẹ ọmọ kékeré a máa wọ àgbà nínú; òrùka ọmọ kékeré ni kì í wọ ágbá lọ́wọ́.	oúnjẹ ọmọ kékeré a máa wọ àgbà nínú; òrùka ọmọ kékeré ni kì í wọ ágbá lọ́wọ́.	ohun je omo kekere a maa wo agba ninu oruka omo kekere ni kii wo agba lowo	['oúnjẹ ọmọ kékeré a máa wọ àgbà nínú orúkà ọmọ kékeré ní kí wọ àgbà lọ́wọ́']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-16-07_716927.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Owó ẹ̀yẹ ò sú ẹni í san; tọ̀ràn ni ò súnwọ̀n.	owó ẹ̀yẹ ò sú ẹni í san; tọ̀ràn ni ò súnwọ̀n.	owo eye osun enisan taran ni osun wan	['owó ẹyẹ òṣù ẹni san tọràn ní òṣùwọ̀n']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-17-47_699632.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Ọbẹ̀ kì í gbé inú àgbà mì.	ọbẹ̀ kì í gbé inú àgbà mì.	obe ki n gbenu agba mi	['ọbẹ̀ kìí gbé náà gbà mi.']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-19-14_620679.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Ọ̀bún ríkú ọkọ tìrànmọ́; ó ní ọjọ́ tí ọkọ òún ti kú òun ò fi omi kan ara.	ọ̀bún ríkú ọkọ tìrànmọ́; ó ní ọjọ́ tí ọkọ òún ti kú òun ò fi omi kan ara.	obur riku oko tiran mo o ni ojo ti oko ohun ti ku ohun ofi omikan ara	['ọ̀bùn oríkú ọkọ̀ tìrànmọ́, ó ní ọjọ́ tí ọkọ̀ òun tí kú òun ò fi omi kan ara']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-21-15_504996.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Ọ̀gà ń gà lọmọ ò mi ń jẹ́ , ẹ má pe ọmọ ọ̀ mi ní Ògò ǹ gò mọ́! Èwo lorúkọ rere níbẹ̀?	ọ̀gà ń gà lọmọ ò mi ń jẹ́ , ẹ má pe ọmọ ọ̀ mi ní ògò ǹ gò mọ́! èwo lorúkọ rere níbẹ̀?	oga n ga lomo mi n je e ma pe omo mi ni ogongo mo ewoloruko rere nibe	['ọ̀gánga lọmọ mi ń jẹ́, ẹ máa pọ̀ ọmọ mi ní ògùngùngò mọ́ èrò lórúkọ rere níbẹ̀']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-22-25_435482.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Ọ̀gẹ̀gẹ́ ò lẹ́ wà; lásán ló fara wéṣu.	ọ̀gẹ̀gẹ́ ò lẹ́ wà; lásán ló fara wéṣu.	oge ge ole wa lasan olofa ara wesu	['ọ̀gẹ̀gẹ́ ò lẹ́wà lásán ló fara ìṣù.']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-22-34_517931.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Ọjọ́ àgbà á kú sàn ju ọjọ́ àgbà á tẹ́ .	ọjọ́ àgbà á kú sàn ju ọjọ́ àgbà á tẹ́ .	ojo agba kusan ju ojo agba te	['ọjọ́ àgbà kú sàn ju ọjọ́ àgbà tẹ́']		
/content/drive/MyDrive/ProverbSpeech Project/Yor_Prov Batch 3 (501-750) /recorder_2024-11-18_09-22-42_134292.wav	Tope_gFYzfTnmpWW6tJQN	Yor_prov_0501-0750	Ọjọ́ kan là ń bàjẹ́ , ọjọ́ gbogbo lara ń tini.	ọjọ́ kan là ń bàjẹ́ , ọjọ́ gbogbo lara ń tini.	ojo kanla n baje ojo gbogbo lara n tini	['ọjọ́ kọlàm bàjẹ́ ọjọ́ gbogbo larántìnì']		
